Meters,Celsius,X,Y,Z,Date,Feet,Kite
3.1899999999999977,24.81,0.03658536585365857,-0.032258064516129004,0.0023474178403755097,2017-07-26T20:00:12Z,10.465879599999992,None
3,24.87,0.03658536585365857,-0.032258064516129004,0.0023474178403755097,2017-07-26T20:00:12Z,9.84252,None
3.3100000000000023,24.93,0.03658536585365857,-0.032258064516129004,0.0023474178403755097,2017-07-26T20:00:13Z,10.859580400000008,None
4.060000000000002,24.93,0.03658536585365857,-0.035190615835777095,0.0023474178403755097,2017-07-26T20:00:13Z,13.320210400000008,None
3.8799999999999955,24.93,0.03658536585365857,-0.032258064516129004,0.0023474178403755097,2017-07-26T20:00:13Z,12.729659199999984,None
4.189999999999998,24.87,0.03658536585365857,-0.032258064516129004,0,2017-07-26T20:00:14Z,13.746719599999992,None
4.060000000000002,24.87,0.03658536585365857,-0.032258064516129004,0.0023474178403755097,2017-07-26T20:00:14Z,13.320210400000008,None
4.310000000000002,24.87,0.03658536585365857,-0.035190615835777095,0.0023474178403755097,2017-07-26T20:00:15Z,14.140420400000007,None
4.3799999999999955,24.87,0.03658536585365857,-0.011730205278592365,-0.0046948356807511304,2017-07-26T20:00:16Z,14.370079199999985,None
4.5,24.87,0.03658536585365857,-0.035190615835777095,0.0023474178403755097,2017-07-26T20:00:17Z,14.76378,None
4.560000000000002,24.87,0.03963414634146334,-0.017595307917888547,0.0023474178403755097,2017-07-26T20:00:17Z,14.960630400000007,None
4.6299999999999955,24.81,0.027439024390243816,-0.02346041055718473,0.014084507042253502,2017-07-26T20:00:18Z,15.190289199999985,None
4,24.81,0.04268292682926833,-0.04398826979472137,-0.007042253521126751,2017-07-26T20:00:18Z,13.12336,None
1.5600000000000023,24.81,0.030487804878048808,-0.02346041055718473,0.014084507042253502,2017-07-26T20:00:18Z,5.118110400000007,None
0.47999999999998977,24.81,0.04268292682926833,-0.032258064516129004,0.0023474178403755097,2017-07-26T20:00:19Z,1.5748031999999663,None
1.6899999999999977,24.81,0.03353658536585358,0,-0.0023474178403756207,2017-07-26T20:00:19Z,5.544619599999993,None
1.6899999999999977,24.81,0.027439024390243816,-0.035190615835777095,-0.014084507042253502,2017-07-26T20:00:21Z,5.544619599999993,None
2.4799999999999898,24.81,0.030487804878048808,-0.02052785923753664,0.0023474178403755097,2017-07-26T20:00:21Z,8.136483199999967,None
1.5600000000000023,24.81,0.024390243902439046,-0.011730205278592365,-0.011737089201877882,2017-07-26T20:00:22Z,5.118110400000007,None
1.8100000000000023,24.81,0.03963414634146334,-0.02639296187683282,0.009389671361502261,2017-07-26T20:00:22Z,5.938320400000007,None
1.8100000000000023,24.81,0.030487804878048808,-0.008797653958944274,-0.0023474178403756207,2017-07-26T20:00:23Z,5.938320400000007,None
1.8100000000000023,24.81,0.03353658536585358,-0.011730205278592365,0,2017-07-26T20:00:23Z,5.938320400000007,None
1.8100000000000023,24.81,0.03353658536585358,-0.011730205278592365,0.0023474178403755097,2017-07-26T20:00:23Z,5.938320400000007,None
1.6899999999999977,24.81,0.03353658536585358,-0.011730205278592365,0.0023474178403755097,2017-07-26T20:00:24Z,5.544619599999993,None
1.8100000000000023,24.81,0.03353658536585358,-0.011730205278592365,0.0023474178403755097,2017-07-26T20:00:26Z,5.938320400000007,None
1.3100000000000023,24.81,0.03353658536585358,-0.011730205278592365,0.0023474178403755097,2017-07-26T20:00:26Z,4.297900400000008,None
1.8100000000000023,24.81,0.04268292682926833,-0.04105571847507328,0.0046948356807512415,2017-07-26T20:00:26Z,5.938320400000007,None
1.6899999999999977,24.81,0.009146341463414531,0.035190615835777095,-0.011737089201877882,2017-07-26T20:00:27Z,5.544619599999993,None
1.6899999999999977,24.81,0.06707317073170738,0.011730205278592365,0.0023474178403755097,2017-07-26T20:00:27Z,5.544619599999993,None
1.75,24.81,0.0792682926829269,0.038123167155425186,-0.018779342723004744,2017-07-26T20:00:28Z,5.74147,None
1.6299999999999955,24.81,0.07012195121951215,-0.02346041055718473,-0.0023474178403756207,2017-07-26T20:00:28Z,5.347769199999985,None
1.6899999999999977,24.81,0.05792682926829262,-0.008797653958944274,-0.018779342723004744,2017-07-26T20:00:28Z,5.544619599999993,None
2.0600000000000023,24.81,0.03353658536585358,-0.011730205278592365,-0.021126760563380254,2017-07-26T20:00:30Z,6.758530400000008,None
1.6899999999999977,24.81,0.03658536585365857,-0.008797653958944274,0.014084507042253502,2017-07-26T20:00:31Z,5.544619599999993,None
1.75,24.81,0.07012195121951215,0.011730205278592365,0.04460093896713624,2017-07-26T20:00:31Z,5.74147,None
1.6899999999999977,24.81,0.03963414634146334,-0.04398826979472137,-0.009389671361502372,2017-07-26T20:00:31Z,5.544619599999993,None
1.6899999999999977,24.81,0.018292682926829285,0.014662756598240456,-0.0046948356807511304,2017-07-26T20:00:32Z,5.544619599999993,None
1.6899999999999977,24.81,-0.0060975609756097615,-0.0058651026392961825,0,2017-07-26T20:00:32Z,5.544619599999993,None
1.8100000000000023,24.81,0.015243902439024293,-0.011730205278592365,0,2017-07-26T20:00:33Z,5.938320400000007,None
2.4799999999999898,24.81,0.009146341463414531,-0.02346041055718473,0.014084507042253502,2017-07-26T20:00:33Z,8.136483199999967,None
1.8100000000000023,24.81,0.0030487804878047697,-0.02639296187683282,-0.014084507042253502,2017-07-26T20:00:35Z,5.938320400000007,None
1.4399999999999977,24.81,0.009146341463414531,-0.017595307917888547,0.0023474178403755097,2017-07-26T20:00:35Z,4.724409599999992,None
